n_members,n_windows,sol_lon_min,sol_lon_max,best_z,ra,dec,vgeo,sol_lon,q,e,i,peri,node,gmn_code,gmn_code_fraction,sporadic_fraction,iau_established,iau_established_sep,iau_working,iau_working_sep,gathered,n_years_present,n_years_excess,excess_years,median_year_z,max_year_fraction,gathered_sporadic_fraction,lam_sun_centred,beta_ecl,nearest_sporadic_source,sporadic_source_dist_deg
11,1,340.5,342.5,9.0,179.49,-1.96,34.37,341.41,0.2162,0.9075,3.7,129.86,161.38,,0.0,1.0,,,,,346,7,0,,-1.37,0.439,0.847,198.16,-2.22,antihelion,2.9
11,1,328.5,330.5,9.0,89.77,-63.89,27.51,330.06,0.9878,0.9219,41.77,2.94,150.06,,0.0,1.0,,,DDO,1.06,66,4,4,"2023,2024,2025,2026",4.0,0.348,1.0,144.87,-87.41,antihelion,96.1
11,1,339.0,341.0,9.0,246.01,-45.93,67.26,339.97,0.9862,0.9525,138.99,351.87,159.97,,0.0,1.0,,,DNO,0.39,122,7,0,,-0.9,0.426,0.787,271.91,-24.33,south_apex,9.5
11,1,337.5,339.5,9.0,169.04,-3.58,36.6,339.17,0.2914,0.9875,12.77,114.77,159.17,,0.0,1.0,,,ESL,4.88,52,6,2,"2020,2022",0.14,0.385,1.0,192.59,-8.01,antihelion,10.9
11,1,33.0,35.0,9.0,225.89,-11.83,30.54,33.79,0.3287,0.861,7.03,297.47,33.82,DLI,1.0,0.0,,,DLI,0.89,1113,7,2,"2022,2026",0.45,0.444,0.358,192.23,5.27,antihelion,9.4
12,1,255.0,257.0,9.0,68.97,12.85,18.19,256.15,0.6927,0.6807,5.09,75.09,76.17,,0.0,1.0,,,RTU,1.25,767,7,1,2025,0.24,0.334,0.867,173.56,-8.64,antihelion,27.7
12,1,333.0,335.0,9.0,88.47,-64.27,27.99,333.8,0.9892,0.9615,41.97,358.84,153.8,,0.0,1.0,,,DDO,0.49,67,4,4,"2023,2024,2025,2026",1.67,0.433,1.0,115.08,-87.42,antihelion,106.8
44,1,264.0,266.0,9.0,88.75,26.61,23.81,265.03,0.5121,0.7677,2.59,276.36,264.98,DEG,0.545,0.455,NTA,1.23,ORN,4.5,889,7,0,,-13.46,0.34,0.544,183.51,2.9,antihelion,16.7
11,1,337.5,339.5,9.0,276.11,71.51,21.32,338.56,0.9899,0.6477,33.38,178.75,338.56,,0.0,1.0,,,,,109,7,6,"2020,2021,2022,2023,2024,2025",2.11,0.33,1.0,94.66,84.19,north_toroidal,59.1
10,1,264.0,266.0,9.0,75.94,12.21,17.9,264.96,0.7144,0.681,5.62,71.08,84.98,DSA,0.2,0.8,,,RTU,7.31,664,7,0,,-3.41,0.343,0.767,171.0,-9.58,antihelion,30.4
11,1,139.5,141.5,9.0,48.54,57.86,56.65,140.18,0.9366,0.7546,111.63,145.51,140.18,PER,1.0,0.0,PER,0.3,,,11134,7,7,"2019,2020,2021,2022,2023,2024,2025",63.15,0.346,0.019,283.12,38.14,north_toroidal,23.5
11,1,168.0,170.0,9.0,262.99,-30.91,7.18,169.32,1.0053,0.5126,2.12,7.06,348.06,,0.0,1.0,,,GSA,6.71,149,7,0,,0.34,0.329,1.0,101.24,-2.59,antihelion,98.8
11,1,178.5,180.5,9.0,305.07,15.09,11.62,179.0,0.9583,0.6489,10.08,207.22,179.01,,0.0,1.0,,,,,445,7,4,"2019,2020,2022,2025",3.02,0.517,0.912,134.2,33.07,antihelion,71.2
12,1,163.5,165.5,9.0,108.4,61.63,56.47,164.94,0.7895,0.9601,105.4,124.23,164.94,,0.0,1.0,,,XAU,1.54,95,6,2,"2021,2022",0.17,0.242,1.0,296.32,39.25,north_toroidal,26.9
11,1,169.5,171.5,9.0,338.69,54.31,35.18,171.04,0.7955,0.9384,52.77,235.46,171.04,,0.0,1.0,,,,,56,6,6,"2020,2021,2022,2023,2024,2025",7.0,0.268,1.0,203.15,56.25,north_toroidal,35.5
11,1,168.0,170.0,9.0,49.14,-24.39,50.33,169.03,0.6212,0.9768,88.4,76.93,349.03,TER,1.0,0.0,,,TER,0.18,70,6,3,"2023,2024,2025",1.56,0.329,0.086,229.2,-40.69,south_apex,44.3
11,1,163.5,165.5,9.0,149.49,48.94,45.32,164.46,0.4274,0.9947,68.55,80.91,164.46,ALN,0.182,0.818,,,ALN,4.32,103,6,0,,-0.56,0.34,0.68,328.6,33.88,helion,35.6
11,1,186.0,188.0,9.0,156.44,-2.27,32.76,186.93,0.1513,0.8722,24.18,214.44,6.92,DSX,1.0,0.0,DSX,0.2,,,187,6,6,"2019,2021,2022,2023,2024,2025",26.0,0.326,0.059,330.39,-11.55,helion,15.0
11,1,168.0,170.0,9.0,45.75,-9.12,56.59,169.26,0.398,0.9861,113.06,101.95,349.26,SZE,1.0,0.0,,,SZE,2.43,95,6,6,"2020,2021,2022,2023,2024,2025",9.0,0.295,0.095,231.41,-25.12,south_apex,37.6
68,2,160.5,164.0,8.87,95.39,39.49,65.78,161.89,0.6763,0.9729,147.71,109.62,161.89,AUR,0.923,0.077,AUR,2.82,TAG,5.6,500,7,7,"2019,2020,2021,2022,2023,2024,2025",7.88,0.338,0.06,292.29,15.91,north_apex,21.5
39,1,289.5,291.5,8.87,224.33,1.14,66.47,290.45,0.6831,0.9565,145.51,111.9,290.45,DSV,0.974,0.026,,,JPV,1.23,239,7,3,"2023,2024,2026",1.3,0.28,0.025,291.02,17.26,north_apex,20.3
24,1,289.5,291.5,8.64,182.07,-16.56,67.11,290.49,0.855,0.7854,153.57,44.51,110.49,ECV,0.625,0.375,ECV,6.87,DEC,4.17,209,7,5,"2022,2023,2024,2025,2026",3.01,0.268,0.383,257.7,-14.44,south_apex,11.9
69,2,25.5,29.0,8.56,220.09,-10.58,31.55,26.29,0.2942,0.8753,7.4,300.63,26.33,DLI,0.96,0.04,,,DLI,3.26,751,7,3,"2020,2023,2026",1.02,0.415,0.302,193.76,4.83,antihelion,7.9
18,1,76.5,78.5,8.43,275.75,-26.74,33.94,77.39,0.2189,0.9086,6.28,129.92,257.32,LSA,0.944,0.056,,,LSA,0.88,585,8,2,"2024,2026",0.52,0.359,0.354,197.87,-3.07,antihelion,3.7
17,1,258.0,260.0,8.35,153.01,34.64,63.79,258.88,0.5873,1.0027,133.64,258.88,258.88,COM,1.0,0.0,COM,6.37,DLM,3.22,1128,7,0,,-6.65,0.292,0.027,243.18,21.7,north_apex,26.3
15,1,142.5,144.5,8.35,54.87,58.24,58.52,143.09,0.9306,0.8778,113.51,145.76,143.09,PER,1.0,0.0,PER,3.52,,,24978,7,7,"2019,2020,2021,2022,2023,2024,2025",93.76,0.296,0.026,283.79,38.12,north_toroidal,23.7
16,1,178.5,180.5,8.35,61.7,40.3,64.84,179.27,0.6804,0.9741,142.29,249.66,179.27,SPE,0.438,0.562,SPE,7.71,PXS,2.61,423,7,0,,-1.73,0.34,0.452,248.66,18.95,north_apex,20.8
11,1,66.0,68.0,8.35,270.02,-25.79,37.35,67.19,0.1371,0.945,5.84,141.87,247.16,LSA,0.182,0.818,,,LSA,4.35,429,8,7,"2020,2021,2022,2023,2024,2025,2026",2.57,0.354,0.781,202.64,-2.29,antihelion,3.5
16,1,309.0,311.0,8.35,184.06,-18.26,63.88,309.72,0.4677,0.9457,145.15,93.98,129.71,,0.0,1.0,ECV,4.97,,,70,6,0,,-1.42,0.357,1.0,241.25,-15.47,south_apex,27.7
16,1,70.5,72.5,8.35,355.05,8.96,66.32,71.51,0.7438,0.8932,160.86,115.74,71.5,ETA,0.5,0.5,,,JTP,1.29,196,8,3,"2023,2025,2026",1.86,0.301,0.24,284.7,9.65,north_apex,15.3
16,1,183.0,185.0,8.35,322.86,5.68,12.11,184.38,0.9217,0.6621,6.37,216.88,184.39,,0.0,1.0,,,,,459,7,0,,0.18,0.392,1.0,143.26,17.28,antihelion,58.7
17,1,37.5,39.5,8.35,225.87,-10.9,27.25,38.64,0.4282,0.8185,6.45,286.27,38.67,DLI,0.235,0.765,,,DLI,1.28,1061,8,2,"2022,2026",0.88,0.324,0.683,188.33,5.78,antihelion,13.0
32,2,1.5,5.0,8.35,197.23,-45.67,45.02,3.93,0.4441,0.9854,67.39,96.37,183.93,,0.0,1.0,,,,,130,5,3,"2024,2025,2026",0.76,0.338,1.0,210.11,-35.06,antihelion,36.4
20,1,165.0,167.0,8.12,10.26,-4.55,35.7,166.41,0.1837,0.9303,16.45,134.29,346.4,AIC,0.2,0.8,,,PCE,2.18,351,7,7,"2019,2020,2021,2022,2023,2024,2025",4.68,0.291,0.627,202.47,-8.07,antihelion,8.4
37,1,336.0,338.0,8.12,288.35,47.54,31.25,336.92,0.913,0.7518,50.08,144.71,336.92,MOC,0.108,0.892,,,FDC,0.8,164,7,5,"2020,2021,2022,2023,2025",2.3,0.299,0.896,330.0,68.21,north_toroidal,27.5
24,1,66.0,68.0,8.12,237.23,-34.81,21.69,67.07,0.649,0.7615,9.84,80.07,247.04,,0.0,1.0,,,SLL,4.26,394,7,3,"2024,2025,2026",1.8,0.393,1.0,175.58,-13.0,antihelion,27.5
22,1,286.5,288.5,8.12,99.44,14.09,18.16,287.88,0.7028,0.6822,4.97,72.36,107.9,DSA,0.545,0.455,,,,,510,7,0,,-1.87,0.261,0.622,171.34,-8.15,antihelion,29.7
35,2,85.5,89.0,8.12,235.18,6.19,12.96,86.15,0.9365,0.6399,8.56,216.55,86.18,JES,0.208,0.792,,,JES,4.25,474,8,7,"2020,2021,2022,2023,2024,2025,2026",5.38,0.295,0.821,146.62,23.31,antihelion,57.2
23,2,289.5,293.0,8.0,109.37,1.01,23.71,292.03,0.6171,0.7861,15.5,81.24,112.03,DCN,0.6,0.4,,,DCN,0.54,204,8,1,2026,-0.47,0.382,0.75,179.48,-20.91,antihelion,29.1
10,1,289.5,291.5,8.0,194.99,-24.35,70.06,290.11,0.9753,0.9493,151.61,349.49,110.11,,0.0,1.0,ECV,6.8,PIH,7.66,99,6,4,"2023,2024,2025,2026",1.8,0.323,1.0,272.98,-15.95,south_apex,3.0
10,1,54.0,56.0,8.0,300.16,17.7,59.5,54.38,0.9002,0.9836,113.55,218.85,54.37,M23K1,0.9,0.1,GAQ,4.21,,,86,5,5,"2021,2023,2024,2025,2026",3.88,0.302,0.384,252.72,37.25,north_toroidal,25.5
38,2,10.5,14.0,8.0,309.56,71.99,20.54,11.31,0.9772,0.6615,31.94,160.82,11.31,,0.0,1.0,,,,,136,7,7,"2020,2021,2022,2023,2024,2025,2026",7.43,0.419,1.0,27.81,77.19,north_toroidal,46.3
233,4,160.5,167.0,8.0,65.34,-0.54,65.55,164.52,0.9064,0.8933,141.14,38.52,344.52,NUE,0.959,0.041,NUE,2.15,OOE,6.58,529,7,0,,-1.49,0.319,0.045,258.53,-21.74,south_apex,12.8
10,1,163.5,165.5,8.0,4.09,-11.35,31.44,164.79,0.3163,0.8804,16.62,117.13,344.78,,0.0,1.0,,,,,115,7,1,2025,1.08,0.287,1.0,192.41,-11.0,antihelion,13.3
10,1,315.0,317.0,8.0,246.17,21.17,56.62,316.1,0.9225,0.8681,105.53,149.29,316.1,FBH,0.1,0.9,,,FBH,1.35,85,7,6,"2020,2021,2022,2023,2025,2026",4.35,0.459,0.741,283.87,42.31,north_toroidal,19.7
10,1,300.0,302.0,8.0,219.39,76.42,29.91,301.03,0.9367,0.9611,43.87,205.51,301.03,,0.0,1.0,GUM,7.67,,,41,5,5,"2022,2023,2024,2025,2026",4.5,0.293,1.0,182.67,71.37,north_toroidal,37.7
10,1,78.0,80.0,8.0,35.94,-41.79,50.63,79.57,0.9206,0.9829,89.41,324.3,259.57,,0.0,1.0,,,CPH,0.71,24,4,0,,-0.29,0.5,1.0,292.71,-51.47,south_apex,41.1
10,1,58.5,60.5,8.0,307.07,-31.97,64.63,59.12,0.5234,0.9844,152.17,88.6,239.13,OMC,1.0,0.0,,,OMC,0.85,431,7,4,"2023,2024,2025,2026",4.91,0.371,0.023,243.44,-12.76,south_apex,25.9
10,1,288.0,290.0,8.0,152.97,-72.45,41.16,288.81,0.9621,0.9607,66.73,342.75,108.81,,0.0,1.0,,,OCR,1.04,77,3,3,"2024,2025,2026",-0.22,0.377,0.818,295.61,-68.09,south_apex,56.4
10,1,336.0,338.0,8.0,247.82,28.13,54.94,336.66,0.9791,0.9728,97.43,192.1,336.66,,0.0,1.0,,,,,60,7,1,2022,-0.16,0.3,1.0,262.08,49.73,north_toroidal,11.2
17,2,333.0,336.5,8.0,87.67,-28.49,11.54,334.23,0.9846,0.6135,13.83,9.19,154.23,,0.0,1.0,,,,,127,6,0,,-1.09,0.386,1.0,115.08,-51.1,antihelion,92.1
10,1,6.0,8.0,8.0,200.15,-45.42,45.14,6.75,0.4217,0.9895,67.09,98.96,186.75,,0.0,1.0,,,,,83,5,2,"2024,2026",-0.07,0.325,1.0,211.22,-34.2,antihelion,35.8
10,1,103.5,105.5,8.0,18.19,26.72,63.91,104.28,0.8643,0.7242,147.25,130.09,104.27,PPS,1.0,0.0,PPS,2.03,UPI,2.18,277,7,7,"2019,2020,2021,2022,2023,2024,2025",4.26,0.354,0.036,282.77,17.72,north_apex,12.6
10,1,97.5,99.5,8.0,205.84,67.59,16.52,98.06,0.9983,0.6424,23.69,162.52,98.07,,0.0,1.0,,,,,158,7,7,"2020,2021,2022,2023,2024,2025,2026",8.44,0.291,1.0,52.53,66.14,north_toroidal,64.8
10,1,1.5,3.5,8.0,181.99,45.97,14.92,2.35,0.9055,0.5823,16.49,221.41,2.36,,0.0,1.0,,,,,215,7,1,2020,0.2,0.312,1.0,150.92,39.55,antihelion,60.8
10,1,253.5,255.5,8.0,78.81,25.96,24.9,254.33,0.4736,0.7828,2.6,280.41,254.29,PTS,1.0,0.0,NTA,7.72,ORN,3.96,1535,7,0,,-5.71,0.306,0.358,185.82,2.89,antihelion,14.5
10,1,349.5,351.5,8.0,255.23,-16.47,71.51,350.67,0.9741,0.9754,169.37,196.18,350.66,EOP,0.9,0.1,,,EOP,4.86,84,6,3,"2020,2022,2026",0.71,0.393,0.179,264.5,6.45,north_apex,10.1
10,1,343.5,345.5,8.0,212.01,25.05,46.11,344.27,0.4432,0.9543,72.73,277.72,344.27,MTB,1.0,0.0,,,MTB,1.64,117,6,6,"2021,2022,2023,2024,2025,2026",2.36,0.41,0.043,214.88,35.84,antihelion,38.5
10,1,342.0,344.0,8.0,211.93,27.63,45.76,343.16,0.4938,0.9678,71.73,271.61,343.17,MTB,1.0,0.0,,,MTB,1.19,146,6,0,,0.06,0.404,0.116,214.92,37.36,antihelion,39.9
10,1,135.0,137.0,8.0,42.56,56.03,57.22,135.88,0.9403,0.7774,112.89,146.53,135.88,PER,1.0,0.0,PER,2.18,,,12146,7,7,"2019,2020,2021,2022,2023,2024,2025",98.67,0.349,0.031,282.89,38.14,north_toroidal,23.4
10,1,36.0,38.0,8.0,260.93,47.49,35.6,37.79,0.9538,0.9753,55.58,206.65,37.79,M24H1,1.0,0.0,,,NHE,7.58,63,7,4,"2021,2022,2024,2025",1.63,0.317,0.476,213.95,70.17,north_toroidal,25.7
10,1,139.5,141.5,8.0,47.12,57.58,57.37,140.48,0.9535,0.7881,112.57,150.07,140.48,PER,1.0,0.0,PER,0.13,,,17976,7,7,"2019,2020,2021,2022,2023,2024,2025",121.12,0.336,0.017,282.73,38.23,north_toroidal,23.3
10,1,33.0,35.0,8.0,329.85,-4.8,65.3,34.2,0.5107,0.9715,164.46,90.0,34.19,ETA,1.0,0.0,,,NPE,7.22,806,8,0,,-11.56,0.316,0.073,295.44,7.11,north_apex,26.2
10,1,337.5,339.5,8.0,273.19,51.89,31.29,338.82,0.9756,0.643,52.72,164.18,338.82,,0.0,1.0,,,MXD,5.82,114,7,5,"2021,2022,2023,2025,2026",2.74,0.377,0.868,295.29,75.29,north_toroidal,18.1
10,1,28.5,30.5,8.0,329.81,2.71,61.63,29.32,0.3625,0.9933,143.58,73.55,29.32,NPE,1.0,0.0,,,NPE,0.64,175,7,7,"2020,2021,2022,2023,2024,2025,2026",5.29,0.297,0.029,303.61,14.25,north_apex,32.5
10,1,142.5,144.5,8.0,274.62,56.56,20.84,143.48,1.0034,0.6523,32.78,192.39,143.48,AUD,1.0,0.0,AUD,2.81,,,1673,7,7,"2019,2020,2021,2022,2023,2024,2025",23.34,0.25,0.356,142.46,79.24,north_toroidal,48.4
10,1,6.0,8.0,8.0,184.55,47.32,16.07,7.13,0.9167,0.6478,17.3,217.63,7.14,,0.0,1.0,,,,,207,8,3,"2019,2020,2022",1.56,0.362,1.0,152.49,43.43,antihelion,61.9
10,1,306.0,308.0,8.0,78.38,-38.5,13.64,306.69,0.9728,0.6181,17.88,14.18,126.69,,0.0,1.0,,,,,130,7,2,"2024,2026",0.31,0.338,1.0,123.36,-57.53,antihelion,88.4
10,1,13.5,15.5,8.0,243.11,0.85,55.77,14.57,0.274,0.9845,110.38,297.85,14.57,ALO,1.0,0.0,,,ALO,1.51,139,6,6,"2021,2022,2023,2024,2025,2026",9.71,0.302,0.014,226.77,21.7,antihelion,34.1
14,1,142.5,144.5,7.6,50.45,57.69,59.21,143.24,0.9618,0.9063,114.62,153.53,143.24,PER,1.0,0.0,PER,1.26,,,36251,7,7,"2019,2020,2021,2022,2023,2024,2025",90.66,0.317,0.016,282.79,38.3,north_toroidal,23.3
12,1,3.0,5.0,7.6,84.06,21.09,7.13,4.06,0.9943,0.5311,1.54,349.28,183.08,,0.0,1.0,,,,,128,6,0,,-0.7,0.336,1.0,77.82,-2.31,helion,97.8
14,1,208.5,210.5,7.6,43.33,19.1,30.77,209.02,0.2602,0.8663,3.64,306.36,209.02,,0.0,1.0,NTA,1.31,NOA,4.34,2452,7,4,"2019,2021,2024,2025",2.36,0.339,0.553,196.27,2.32,antihelion,4.4
25,2,178.5,182.0,7.6,348.6,5.07,18.6,180.9,0.7103,0.7205,5.3,252.22,180.92,,0.0,1.0,,,,,557,7,1,2024,0.22,0.402,1.0,170.49,8.06,antihelion,30.5
21,1,313.5,315.5,7.59,208.46,-21.52,70.05,314.53,0.8992,0.9043,163.28,35.78,134.53,PIH,0.762,0.238,,,PIH,2.26,132,7,4,"2023,2024,2025,2026",2.41,0.402,0.182,259.57,-9.22,south_apex,11.7
28,1,24.0,26.0,7.57,259.85,42.58,39.63,24.99,0.9362,0.9434,64.06,210.3,24.99,NHE,0.964,0.036,,,NHE,3.25,316,7,7,"2020,2021,2022,2023,2024,2025,2026",11.04,0.278,0.225,228.67,65.17,north_toroidal,19.7
172,1,166.5,168.5,7.23,3.05,4.86,28.92,167.56,0.2834,0.8374,4.89,304.52,167.66,NIA,0.523,0.471,NIA,0.75,,,1275,7,6,"2019,2020,2021,2023,2024,2025",7.38,0.318,0.344,196.96,3.61,antihelion,4.7
72,1,172.5,174.5,7.15,71.88,1.99,65.85,173.41,0.8778,0.8887,143.28,43.52,353.41,NUE,0.736,0.264,NUE,0.94,ROR,7.13,507,7,5,"2021,2022,2023,2024,2025",3.96,0.377,0.136,257.53,-20.13,south_apex,12.9
14,1,159.0,161.0,7.14,1.31,9.03,36.17,160.13,0.1421,0.9298,18.4,321.36,160.14,NDA,1.0,0.0,,,NCQ,7.78,909,7,7,"2019,2020,2021,2022,2023,2024,2025",8.33,0.327,0.132,205.35,7.39,antihelion,9.1
22,1,358.5,360.5,7.06,121.81,-36.83,15.11,359.48,0.9649,0.6493,19.28,22.76,179.68,M25F1,0.636,0.364,,,,,206,7,5,"2021,2023,2024,2025,2026",2.45,0.587,0.549,142.64,-55.25,antihelion,75.1
21,1,9.0,11.0,7.06,154.25,-4.8,12.97,10.28,0.9078,0.6484,5.03,40.19,190.24,,0.0,1.0,,,,,307,7,0,,-0.44,0.371,1.0,149.03,-11.45,antihelion,52.0
27,2,325.5,329.0,7.06,343.92,60.02,13.62,328.26,0.9746,0.6445,17.58,164.87,328.26,,0.0,1.0,,,,,124,7,0,,-0.84,0.226,1.0,59.47,59.18,north_toroidal,75.7
42,1,85.5,87.5,7.06,230.58,52.55,14.98,86.67,1.0136,0.6129,21.16,186.48,86.69,EUM,0.333,0.667,AVB,5.51,EUM,2.11,512,8,8,"2019,2020,2021,2022,2023,2024,2025,2026",5.85,0.23,0.744,110.95,65.3,north_toroidal,73.3
13,1,313.5,315.5,7.06,160.45,-9.93,43.94,314.21,0.1317,0.9588,57.32,141.12,134.21,AAN,1.0,0.0,AAN,1.74,,,192,8,5,"2020,2022,2024,2025,2026",3.05,0.385,0.224,211.35,-17.15,antihelion,20.5
37,1,82.5,84.5,7.0,228.86,43.39,13.68,83.55,1.0008,0.6249,18.06,195.74,83.56,EUM,0.216,0.784,TAH,1.79,,,481,8,4,"2019,2020,2021,2022",2.06,0.202,0.805,122.48,58.66,north_toroidal,75.3
36,1,90.0,92.0,7.0,237.84,6.41,12.16,90.8,0.9448,0.6201,8.59,216.03,90.83,JES,0.361,0.639,,,JES,2.28,481,8,1,2023,0.8,0.328,0.79,143.91,25.2,antihelion,60.3
150,2,168.0,171.5,6.93,70.21,0.98,65.77,170.52,0.8997,0.8895,142.14,39.31,350.52,NUE,0.778,0.222,NUE,1.22,,,545,7,6,"2020,2021,2022,2023,2024,2025",4.42,0.345,0.154,258.15,-21.01,south_apex,12.8
14,1,315.0,317.0,6.86,104.14,-43.76,19.52,316.54,0.9424,0.6389,28.43,27.7,136.54,,0.0,1.0,,,,,84,5,0,,-1.21,0.357,1.0,156.56,-64.89,antihelion,74.5
14,1,327.0,329.0,6.86,211.31,-20.43,66.58,327.96,0.6248,0.8858,164.21,78.27,147.96,ECV,0.357,0.643,,,PIH,2.74,84,7,4,"2022,2024,2025,2026",2.43,0.25,0.631,248.42,-8.18,south_apex,22.2
14,1,336.0,338.0,6.86,268.37,51.85,31.86,336.7,0.9834,0.657,53.98,169.27,336.7,,0.0,1.0,,,MXD,6.61,108,7,1,2023,-0.37,0.361,0.972,289.83,75.23,north_toroidal,17.0
10,1,28.5,30.5,6.86,223.17,-11.46,32.36,29.41,0.2814,0.8868,7.39,302.14,29.44,DLI,1.0,0.0,,,DLI,0.7,925,7,4,"2022,2023,2024,2026",1.89,0.464,0.35,194.2,4.98,antihelion,7.6
14,1,24.0,26.0,6.86,165.42,6.9,9.12,25.12,0.9642,0.5287,1.62,120.36,113.8,,0.0,1.0,,,,,245,8,0,,-1.18,0.355,1.0,136.46,1.78,antihelion,63.6
22,2,309.0,312.5,6.86,209.27,-23.17,70.49,311.76,0.9538,0.9368,161.05,21.08,131.76,PIH,1.0,0.0,,,PIH,0.96,128,7,1,2026,0.24,0.273,0.008,263.65,-11.16,south_apex,7.3
14,1,313.5,315.5,6.86,186.47,-39.24,61.07,314.27,0.7915,0.9795,118.03,53.47,134.27,,0.0,1.0,OHY,7.24,,,55,4,4,"2023,2024,2025,2026",2.5,0.345,1.0,247.96,-32.5,south_apex,26.7
14,1,21.0,23.0,6.86,201.29,-14.93,24.76,22.19,0.5188,0.7812,4.9,95.73,202.16,,0.0,1.0,,,OAV,0.83,794,8,3,"2019,2023,2026",-0.77,0.407,0.727,183.25,-5.03,antihelion,17.5
14,1,304.5,306.5,6.86,234.78,64.99,29.36,305.6,0.9633,0.6203,48.4,199.39,305.6,GUM,0.643,0.357,GUM,2.19,,,185,7,5,"2020,2021,2022,2023,2025",2.64,0.281,0.346,224.65,74.79,north_toroidal,22.9
22,1,340.5,342.5,6.71,340.0,64.23,13.21,341.62,0.9726,0.6237,17.5,162.38,341.62,,0.0,1.0,,,,,225,7,7,"2020,2021,2022,2023,2024,2025,2026",8.51,0.418,1.0,56.19,57.24,north_toroidal,76.2
32,1,331.5,333.5,6.63,70.57,-53.14,16.47,332.42,0.9871,0.6264,24.33,350.91,152.42,M26E1,0.312,0.688,,,,,155,4,2,"2024,2026",-0.38,0.51,0.652,72.47,-73.54,helion,104.4
31,1,79.5,81.5,6.63,236.82,64.11,17.33,80.67,1.0147,0.6168,26.34,179.0,80.68,,0.0,1.0,,,,,244,8,1,2020,-0.81,0.25,1.0,93.58,74.82,north_toroidal,69.4
20,1,318.0,320.0,6.54,217.12,17.75,62.36,319.12,0.7768,0.963,122.37,235.97,319.12,,0.0,1.0,,,ZBO,1.17,99,7,0,,-0.21,0.263,0.768,248.47,30.41,north_apex,25.1
20,1,102.0,104.0,6.54,265.92,2.65,17.23,102.99,0.8298,0.7172,12.49,236.15,103.01,,0.0,1.0,,,FOP,5.87,349,8,1,2024,1.19,0.436,0.951,161.74,24.97,antihelion,44.9
20,1,351.0,353.0,6.54,217.15,22.91,45.99,351.43,0.4507,0.969,71.25,276.31,351.43,,0.0,1.0,,,TSB,1.16,117,7,6,"2020,2021,2022,2024,2025,2026",2.76,0.393,0.538,214.27,35.7,antihelion,38.2
33,1,187.5,189.5,6.33,17.19,12.14,26.4,188.26,0.3745,0.7895,4.43,294.58,188.27,NPI,1.0,0.0,,,SPI,7.27,896,7,7,"2019,2020,2021,2022,2023,2024,2025",6.25,0.299,0.373,192.15,3.9,antihelion,8.8
25,1,256.5,258.5,6.28,151.5,35.19,62.59,257.34,0.5699,0.9375,132.71,262.49,257.35,COM,1.0,0.0,COM,7.73,DLM,4.56,961,7,0,,-11.32,0.277,0.052,243.35,21.84,north_apex,26.2
65,2,94.5,98.0,6.16,238.3,12.82,11.98,97.02,0.9664,0.626,10.31,209.3,97.04,,0.0,1.0,,,,,447,8,7,"2020,2021,2022,2023,2024,2025,2026",5.65,0.313,0.96,137.94,31.85,antihelion,67.6
10,1,354.0,356.0,6.11,137.03,-18.37,14.23,354.93,0.9059,0.6366,12.05,39.39,174.92,,0.0,1.0,,,,,212,7,0,,-1.49,0.396,1.0,150.67,-29.52,antihelion,56.1
13,1,46.5,48.5,6.11,211.56,7.9,15.87,47.11,0.8463,0.6817,8.85,233.01,47.14,AVB,0.769,0.231,,,,,624,8,1,2021,-0.01,0.271,0.724,158.75,18.87,antihelion,44.9
13,1,337.5,339.5,6.11,209.04,28.2,46.48,338.44,0.4779,0.967,73.66,273.01,338.44,MTB,0.538,0.462,,,MTB,3.55,99,6,3,"2022,2023,2024",1.28,0.333,0.424,215.98,37.04,antihelion,40.0
149,2,181.5,185.0,6.11,14.54,10.42,26.83,184.1,0.347,0.798,4.4,297.22,184.11,NPI,0.763,0.237,NPI,4.65,SPI,6.81,1035,7,6,"2019,2020,2021,2022,2024,2025",4.57,0.374,0.321,193.17,3.76,antihelion,7.8
12,1,343.5,345.5,6.11,187.6,1.74,36.07,344.33,0.168,0.9221,10.03,317.0,344.33,,0.0,1.0,,,NMV,3.7,289,7,4,"2022,2024,2025,2026",1.94,0.408,1.0,201.44,4.44,antihelion,4.7
13,1,102.0,104.0,6.11,11.56,41.23,60.56,102.95,0.8999,0.9154,120.72,139.42,102.94,UAN,1.0,0.0,FAN,5.91,UAN,3.5,274,6,4,"2021,2022,2023,2025",1.85,0.347,0.099,285.61,33.82,north_apex,23.6
13,1,169.5,171.5,6.11,157.82,48.66,45.04,170.8,0.4712,0.9887,67.69,86.0,170.8,,0.0,1.0,,,,,62,6,3,"2020,2023,2024",1.19,0.355,1.0,328.71,35.46,helion,37.1
13,1,300.0,302.0,6.11,123.75,23.7,22.29,300.97,0.5766,0.7427,2.7,267.96,300.95,,0.0,1.0,,,,,462,7,7,"2020,2021,2022,2023,2024,2025,2026",3.26,0.232,1.0,179.77,3.16,antihelion,20.5
13,1,24.0,26.0,6.11,270.15,30.71,48.69,25.02,0.9222,0.9307,84.47,213.41,25.02,,0.0,1.0,LYR,2.57,,,123,7,0,,-4.58,0.35,0.976,244.65,55.36,north_toroidal,14.3
13,1,165.0,167.0,6.11,56.17,-3.26,62.48,165.63,0.68,0.9161,134.77,70.82,345.63,,0.0,1.0,,,OOE,2.98,81,6,0,,-1.58,0.284,1.0,247.75,-22.71,south_apex,22.4
