n_members,n_windows,sol_lon_min,sol_lon_max,best_z,ra,dec,vgeo,sol_lon,q,e,i,peri,node,gmn_code,gmn_code_fraction,sporadic_fraction,iau_established,iau_established_sep,iau_working,iau_working_sep,gathered,n_years_present,n_years_excess,excess_years,median_year_z,max_year_fraction,gathered_sporadic_fraction,lam_sun_centred,beta_ecl,nearest_sporadic_source,sporadic_source_dist_deg
172,6,0.0,360.5,52.0,70.04,-78.07,36.33,0.75,0.9911,0.9601,57.97,351.86,180.75,DME,0.877,0.123,,,DME,1.35,281,5,4,"2023,2024,2025,2026",5.91,0.331,0.075,282.5,-76.82,south_apex,62.4
1136,5,253.5,260.0,49.12,126.19,2.39,58.64,257.46,0.2465,0.9851,128.33,120.75,77.46,HYD,0.995,0.005,HYD,0.4,,,5211,7,7,"2019,2020,2021,2022,2023,2024,2025",21.1,0.279,0.027,230.56,-16.4,antihelion,34.4
81,1,201.0,203.0,47.85,144.01,64.27,55.74,202.02,0.9806,0.9462,101.35,164.92,202.02,OCU,1.0,0.0,OCU,0.4,,,541,7,7,"2019,2020,2021,2022,2023,2024,2025",79.0,0.285,0.026,278.89,46.59,north_toroidal,14.4
91,2,7.5,11.0,41.14,307.91,-60.34,58.65,9.89,0.9288,0.9545,110.28,328.88,189.89,DPA,1.0,0.0,,,DPA,0.69,167,4,4,"2023,2024,2025,2026",3.52,0.365,0.084,283.32,-39.94,south_apex,27.6
65,3,12.0,17.0,41.0,275.46,54.11,36.23,15.04,1.0001,0.9434,58.41,178.7,15.04,GAD,0.863,0.137,,,GAD,0.28,138,7,4,"2020,2021,2025,2026",2.27,0.384,0.486,269.73,77.05,north_toroidal,17.1
122,3,88.5,93.5,39.65,10.1,5.48,69.49,90.91,0.9137,0.9367,178.13,142.53,90.78,DPI,0.986,0.014,,,DPI,0.1,250,7,6,"2020,2021,2022,2023,2024,2025",7.2,0.624,0.02,280.46,0.97,north_apex,17.4
75,2,24.0,27.5,38.16,242.15,13.93,45.35,25.05,0.4295,0.9856,68.6,278.63,25.05,PSR,1.0,0.0,KSE,3.43,PSR,0.06,190,7,7,"2020,2021,2022,2023,2024,2025,2026",8.36,0.321,0.111,211.74,34.27,antihelion,36.1
85,4,99.0,105.5,37.0,28.88,6.56,68.61,103.19,0.8077,0.9721,170.69,306.09,283.23,JXA,0.978,0.022,JXA,6.61,,,275,8,7,"2020,2021,2022,2023,2024,2025,2026",7.75,0.396,0.029,285.66,-4.37,south_apex,18.7
114,5,205.5,212.0,37.0,160.25,36.71,61.71,209.17,0.6188,0.9716,124.91,103.17,209.17,LMI,1.0,0.0,LMI,0.12,,,1399,7,7,"2019,2020,2021,2022,2023,2024,2025",46.27,0.312,0.036,298.01,26.19,north_apex,28.5
287,7,165.0,176.0,37.0,116.3,56.13,58.31,171.86,0.7493,0.9287,113.0,117.98,171.86,SLY,0.936,0.064,,,UYL,2.57,425,7,6,"2020,2021,2022,2023,2024,2025",10.32,0.259,0.085,295.24,33.8,north_apex,29.7
90,3,76.5,81.5,37.0,338.39,20.61,65.13,78.81,1.0151,0.9634,133.48,180.55,78.8,GDE,1.0,0.0,,,GDE,0.38,157,7,5,"2021,2023,2024,2025,2026",3.24,0.369,0.121,269.64,27.54,north_apex,12.5
204,2,81.0,84.5,36.0,314.85,33.32,52.79,82.36,0.9179,0.9544,95.45,216.6,82.36,JEC,0.986,0.014,,,JEC,0.22,374,8,7,"2020,2021,2022,2023,2024,2025,2026",17.11,0.227,0.053,249.01,47.76,north_toroidal,17.4
776,4,262.5,269.0,35.73,161.16,30.71,63.2,267.92,0.5584,0.9624,134.44,263.06,267.92,COM,1.0,0.0,COM,1.53,DLM,0.36,2794,8,8,"2018,2019,2020,2021,2022,2023,2024,2025",23.81,0.25,0.023,242.95,21.05,north_apex,26.4
65,3,15.0,20.0,35.0,203.15,-14.31,28.63,17.39,0.3943,0.8371,4.98,109.32,197.35,OAV,1.0,0.0,,,OAV,0.38,848,8,3,"2019,2023,2026",1.82,0.324,0.178,188.99,-4.26,antihelion,11.8
36,1,79.5,81.5,35.0,304.64,-33.0,35.88,80.81,0.0735,0.9271,47.84,158.19,260.8,,0.0,1.0,SZC,0.21,JTT,0.22,197,7,4,"2023,2024,2025,2026",3.53,0.391,1.0,219.22,-13.67,antihelion,23.5
77,2,238.5,242.0,35.0,25.23,39.41,16.34,239.57,0.8356,0.721,11.66,230.59,239.57,AND,0.854,0.146,AND,6.56,,,970,7,7,"2019,2020,2021,2022,2023,2024,2025",16.42,0.326,0.387,158.2,27.47,antihelion,49.0
263,5,306.0,314.0,35.0,231.39,28.18,57.4,307.48,0.9839,0.9352,104.3,176.54,307.48,ACB,0.943,0.057,ACB,0.55,RSE,4.4,249,7,7,"2020,2021,2022,2023,2024,2025,2026",10.7,0.249,0.044,271.82,44.54,north_toroidal,15.5
160,3,300.0,305.0,31.0,199.43,-38.35,64.52,301.28,0.9805,0.7915,131.71,352.44,121.29,ICN,1.0,0.0,,,ICN,0.64,259,3,3,"2024,2025,2026",-0.72,0.494,0.154,272.26,-27.95,south_apex,13.1
108,5,73.5,81.5,31.0,45.22,24.5,41.66,78.99,0.0655,0.9763,29.6,26.6,79.0,ARI,1.0,0.0,ARI,0.69,JEA,2.53,313,8,8,"2019,2020,2021,2022,2023,2024,2025,2026",19.34,0.249,0.019,330.41,7.25,helion,12.0
82,2,288.0,291.5,30.71,228.34,45.46,47.66,289.07,0.9815,0.9287,81.38,174.61,289.07,BBO,0.647,0.353,QUA,3.73,BBO,0.7,265,7,7,"2020,2021,2022,2023,2024,2025,2026",16.38,0.283,0.189,274.45,59.41,north_toroidal,2.3
75,2,313.5,317.0,29.96,239.89,61.98,35.37,315.12,0.9711,0.9667,55.23,194.14,315.12,FED,1.0,0.0,FED,0.14,,,128,6,5,"2020,2022,2024,2025,2026",2.12,0.484,0.078,229.74,76.36,north_toroidal,22.2
84,3,340.5,345.5,29.96,216.39,24.29,49.71,343.27,0.4916,0.9842,82.89,270.71,343.28,TSB,0.981,0.019,,,TSB,0.1,172,7,7,"2020,2021,2022,2023,2024,2025,2026",17.0,0.39,0.029,221.1,36.42,north_toroidal,40.2
106,4,322.5,329.0,29.0,196.23,-56.28,55.14,325.99,0.9259,0.8548,100.98,29.87,145.99,,0.0,1.0,,,GCR,2.04,124,4,4,"2023,2024,2025,2026",5.0,0.508,1.0,255.0,-44.66,south_apex,32.4
68,2,70.5,74.0,29.0,355.78,47.05,50.38,72.42,0.7165,0.9762,89.26,114.16,72.42,PAN,1.0,0.0,,,PAN,0.36,97,6,6,"2021,2022,2023,2024,2025,2026",13.5,0.216,0.062,307.39,43.66,north_toroidal,28.3
