n_members,n_windows,sol_lon_min,sol_lon_max,best_z,ra,dec,vgeo,sol_lon,q,e,i,peri,node,gmn_code,gmn_code_fraction,sporadic_fraction,iau_established,iau_established_sep,iau_working,iau_working_sep
153,5,34.5,42.5,26.0,205.52,5.25,17.94,35.65,0.7758,0.7103,7.85,243.72,35.67,AVB,0.969,0.031,AVB,3.09,SLE,4.83
431,8,309.0,321.5,26.0,203.07,-56.28,57.74,309.93,0.9727,0.8973,107.21,346.93,129.93,ACE,0.758,0.242,,,ACE,4.63
33,1,351.0,353.0,26.0,64.68,-77.76,30.58,352.15,0.9795,0.6571,51.11,344.33,172.15,BTU,0.848,0.152,,,BTU,0.66
70,3,16.5,21.5,26.0,306.86,11.54,61.17,19.21,0.7334,0.9806,121.98,117.26,19.21,AED,1.0,0.0,,,AED,0.25
523,9,96.0,107.0,25.27,315.26,-27.8,39.69,101.67,0.0998,0.9567,33.14,147.61,281.67,SZC,0.976,0.024,SZC,2.25,MIC,3.36
30,1,255.0,257.0,25.0,96.74,13.95,41.17,255.97,0.1599,0.9927,22.75,132.75,75.97,NOO,0.367,0.633,NOO,4.26,CMI,5.51
38,2,160.5,164.0,25.0,46.0,-6.25,60.36,163.12,0.501,0.9822,127.74,91.07,343.12,,0.0,1.0,,,SZE,2.86
29,1,142.5,144.5,23.0,325.28,-11.53,23.89,143.69,0.5508,0.8112,1.82,270.91,143.81,ADC,0.862,0.138,,,ADC,0.03
10,1,124.5,126.5,23.0,339.06,-15.67,40.88,125.6,0.0645,0.973,25.97,154.02,305.59,SDA,1.0,0.0,SDA,0.78,,
422,7,280.5,291.5,22.64,125.77,-7.85,43.96,281.68,0.2829,0.9712,59.22,116.68,101.69,AHY,0.863,0.068,AHY,0.14,,
31,1,72.0,74.0,22.51,273.54,-26.41,36.01,72.59,0.1756,0.9347,6.38,135.9,252.55,LSA,0.968,0.032,,,LSA,1.14
231,7,283.5,294.5,21.76,98.44,-32.47,25.44,284.65,0.8385,0.8132,34.44,47.47,104.65,PIP,0.718,0.282,,,LCM,0.97
3389,10,190.5,204.5,21.48,33.35,8.82,28.97,197.6,0.2887,0.834,5.87,124.32,17.59,SOA,0.55,0.007,STA,2.47,SOA,0.55
39,2,94.5,98.0,21.0,345.19,11.3,66.88,96.08,0.8448,0.9509,150.32,229.34,96.08,FPE,1.0,0.0,JPE,1.99,FPE,0.13
51,2,72.0,75.5,21.0,297.98,66.44,34.61,73.97,1.0077,0.9644,55.26,170.54,73.97,JRD,0.923,0.077,,,JRD,0.18
145,5,1.5,9.5,21.0,194.12,25.35,26.64,8.4,0.6926,0.9507,21.7,248.19,8.4,BCO,0.808,0.192,,,BCO,0.45
60,3,0.0,360.5,21.0,260.86,-16.62,70.83,358.36,0.9526,0.9459,168.64,204.38,358.35,EOP,1.0,0.0,,,EOP,0.54
453,7,96.0,107.0,20.8,21.5,44.42,57.75,100.06,0.6918,0.9503,113.74,110.1,100.06,CAN,0.909,0.091,FAN,2.29,UAN,2.28
25,1,43.5,45.5,20.0,209.94,6.56,16.25,44.23,0.8281,0.6932,8.35,235.71,44.25,AVB,0.72,0.28,,,,
20,1,189.0,191.0,20.0,156.96,-3.6,32.46,189.96,0.1464,0.866,25.8,213.11,9.96,DSX,1.0,0.0,DSX,0.96,,
10,1,337.5,339.5,19.0,191.89,-2.84,40.88,338.65,0.0337,0.9767,9.62,342.16,338.65,FGV,1.0,0.0,,,FGV,0.81
24,1,219.0,221.0,19.0,104.05,15.71,64.14,219.51,0.4649,0.9044,163.82,96.84,39.51,ORI,1.0,0.0,ORI,6.79,,
13,1,120.0,122.0,18.78,334.81,-17.7,40.47,121.65,0.0715,0.9699,25.23,152.59,301.64,SDA,1.0,0.0,SDA,1.65,,
